Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,27.568359375,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,3.44953473200439
49.63,62.6875,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,1.50258102701628
27.79,49.380859375,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,1.31264056899818
51.97,32.5859375,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,0.899548515997594
46.5,45.8388671875,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,0.975742419977905
54.3,44.2099609375,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,0.945498727000086
69.35,51.5859375,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,0.395350656996015
54.5,59.2548828125,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,0.844183839973994
42.84,40.91796875,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,1.53925540298223
67.27,64.7177734375,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,1.00540522098891
55.99,39.6572265625,6.66202559196472,6.66202559196472,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,1.62814349000109
60.81,93.3623046875,6.66202559196472,0,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,2.53578206099337
53.14,58.373046875,25.2927866121674,18.6307610202026,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,1.40030692500295
34.4,22.765625,38.5248525301361,13.2320659179688,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,1.46259730900056
36.49,23.55859375,50.1637891500092,11.638936619873,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,1.12162807700224
68.56,45.0341796875,50.1637891500092,0,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,1.44211555199581
49.64,58.2001953125,66.4999419606018,16.3361528105927,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,1.07219613101915
31.58,33.5419921875,86.3074712934113,19.8075293328094,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,0.939977613015799
36.18,34.57421875,106.178544622269,19.8710733288574,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,0.916828812973108
43.28,86.2587890625,106.178544622269,0,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,1.13516492099734
28.69,75.7109375,106.178544622269,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,1.71150694802054
24.13,32.0205078125,106.178544622269,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,1.01082235600916
45.77,40.80859375,106.178544622269,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,0.94702329300344
38.67,51.2041015625,106.178544622269,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,1.19700849699439
31.51,37.701171875,106.178544622269,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,0.10112937699887
33.95,23.2109375,106.178544622269,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,0.858321125997463
31.75,32.998046875,106.178544622269,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,1.80053932199371
47.58,53.4736328125,106.178544622269,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,1.8478362459864
64.7,58.2744140625,106.178544622269,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,1.82907573101693
50.32,44.185546875,106.178544622269,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,6.21142600799794
54.71,28.326171875,106.178544622269,0,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,1.33084162900923
50.83,47.162109375,125.505873540421,19.3273289181519,80,57,59,20,44,0.12,0.02,0.55,0.25,0.06,0,1.83582892399863
21.02,18.0712890625,145.071128730774,19.5652551903534,30,4,3,45,74,0.12,0.02,0.55,0.25,0.06,0,1.00012613498257
41.45,32.01953125,160.624441688538,15.5533129577637,56,39,17,84,60,0.12,0.02,0.55,0.25,0.06,0,1.55980274299509
67.28,69.7998046875,180.30697090538,19.6825292168427,78,85,60,78,62,0.12,0.02,0.55,0.25,0.06,0,1.18118387801223
26.2,39.9931640625,190.794402162628,10.4874312572479,2,75,18,46,51,0.12,0.02,0.55,0.25,0.06,0,1.52543027099455
22.14,51.529296875,190.794402162628,0,48,84,17,1,85,0.12,0.02,0.55,0.25,0.06,0,1.19081776202074
37.94,27.46875,205.312048334503,14.517646171875,74,46,42,12,34,0.12,0.02,0.55,0.25,0.06,0,1.26951989199733
15.59,59.0791015625,205.312048334503,0,9,72,8,21,57,0.12,0.02,0.55,0.25,0.06,0,1.25687543401727
58.09,42.5888671875,213.297792410965,7.9857440764618,29,66,80,35,9,0.12,0.02,0.55,0.25,0.06,0,0.701316352991853
56.51,58.6005859375,213.297792410965,0,81,78,39,86,38,0.12,0.02,0.55,0.25,0.06,1,1.24888797299354
62.07,50.9853515625,213.297792410965,0,26,83,74,51,64,0.12,0.02,0.55,0.25,0.06,1,0.718592348013772
70.89,69.2783203125,213.297792410965,0,21,90,97,32,87,0.12,0.02,0.55,0.25,0.06,1,0.754385124979308
11.45,9.578125,213.297792410965,0,31,3,5,18,7,0.12,0.02,0.55,0.25,0.06,1,1.06077841899241
38.35,35.0185546875,213.297792410965,0,26,91,46,13,81,0.12,0.02,0.55,0.25,0.06,1,0.946833533991594
63.15,75.166015625,213.297792410965,0,40,2,86,27,71,0.12,0.02,0.55,0.25,0.06,1,1.00497426601942
68.96,57.4599609375,213.297792410965,0,36,79,84,54,56,0.12,0.02,0.55,0.25,0.06,1,0.837329066998791
43.94,39.7109375,213.297792410965,0,12,38,43,51,89,0.12,0.02,0.55,0.25,0.06,1,0.836318304005545
59.18,52.474609375,213.297792410965,0,30,40,79,41,18,0.12,0.02,0.55,0.25,0.06,1,0.682947327004513
40.65,42.0576171875,213.297792410965,0,84,57,6,99,23,0.12,0.02,0.55,0.25,0.06,1,2.33641979598906
72.73,54.88671875,217.378658122635,4.08086571166992,61,37,80,63,82,0.12,0.02,0.55,0.25,0.06,0,2.40429663099349
64.78,46.826171875,221.261660905533,3.88300278289795,29,27,60,94,71,0.12,0.02,0.55,0.25,0.06,0,2.02538136398653
56.99,37.27734375,221.832220084,0.570559178466805,26,12,46,97,68,0.12,0.02,0.55,0.25,0.06,0,2.06970446399646
81.11,41.3408203125,221.832220084,0,19,5,95,86,83,0.12,0.02,0.55,0.25,0.06,0,1.20070884400047
68.28,33.9755859375,221.832220084,0,96,60,93,15,11,0.12,0.02,0.55,0.25,0.06,0,1.76677277698764
39.64,41.7861328125,241.601925781555,19.7697056975555,37,77,32,64,1,0.12,0.02,0.55,0.25,0.06,0,0.805601247004233
82.44,56.3740234375,241.601925781555,0,54,34,90,94,38,0.12,0.02,0.55,0.25,0.06,0,0.916383751988178
20.93,36.8974609375,248.853935342026,7.25200956047058,40,90,6,41,13,0.12,0.02,0.55,0.25,0.06,0,2.13427179001155
