Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,23.7412109375,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,8.95271918600338
49.63,32.0625,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,0.0576626289985143
27.79,75.2734375,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,9.42547394400026
51.97,54.2431640625,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,13.3997209270019
46.5,25.740234375,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,3.17869794999569
54.3,49.703125,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,5.15345466700091
69.35,44.3046875,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,2.14305837699794
54.5,45.0654296875,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,2.84862257200439
42.84,67.8017578125,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,1.93260408200149
67.27,57.568359375,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,1.44664847999957
55.99,42.7744140625,11.2674144164276,11.2674144164276,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,5.51010299500194
60.81,48.814453125,24.0727571749115,12.8053427584839,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,2.66771121099737
53.14,56.134765625,43.6243261174774,19.5515689425659,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,1.52572009099822
34.4,22.0810546875,56.0365054368591,12.4121793193817,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,2.18282760900183
36.49,13.955078125,56.0365054368591,0,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,1.27676656599942
68.56,45.90234375,56.0365054368591,0,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,1.69622828599677
49.64,29.5546875,56.0365054368591,0,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,1.16880036599468
31.58,19.5712890625,68.8260485178375,12.7895430809784,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,1.45765147000202
36.18,57.177734375,68.8260485178375,0,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,1.54946961399401
43.28,62.2080078125,70.9125745303345,2.08652601249695,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,1.28565314400475
28.69,45.31640625,70.9125745303345,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,10.4108243539958
24.13,23.787109375,70.9125745303345,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,4.53633089300274
45.77,39.591796875,70.9125745303345,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,2.09501354899839
38.67,49.79296875,70.9125745303345,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,3.19476860300347
31.51,35.91015625,70.9125745303345,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,1.44905021900195
