Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,35.419921875,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,7.61001614798442
49.63,43.53515625,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,6.42568232800113
27.79,35.1162109375,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,3.68315090797842
51.97,39.4169921875,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,3.82076360599604
46.5,26.42578125,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,2.20125314799952
54.3,38.8525390625,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,1.57618917000946
69.35,36.4638671875,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,4.02571853101836
54.5,31.53125,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,1.84589383500861
42.84,56.853515625,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,4.32301611197181
67.27,26.73046875,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,5.27464273301302
55.99,40.537109375,8.06040856658935,8.06040856658935,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,3.52827370198793
60.81,39.939453125,8.06040856658935,0,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,4.75449285499053
53.14,25.763671875,8.06040856658935,0,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,7.5027701749932
34.4,58.0380859375,8.06040856658935,0,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,1.3527991809824
36.49,77.0263671875,8.06040856658935,0,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,12.3861805289926
68.56,39.3115234375,8.06040856658935,0,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,4.34150820499053
49.64,65.099609375,16.11043246521,8.0500238986206,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,3.03520574999857
31.58,75.9619140625,16.11043246521,0,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,3.52589840799919
36.18,32.1640625,35.3040447650146,19.1936122998047,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,2.82100020800135
43.28,69.390625,35.3040447650146,0,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,1.69680765501107
28.69,37.138671875,35.3040447650146,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,2.45743336601299
24.13,48.31640625,35.3040447650146,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,2.19801808800548
45.77,18.37890625,35.3040447650146,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,1.44470369198825
38.67,37.3125,35.3040447650146,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,1.21908424198045
31.51,47.3056640625,35.3040447650146,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,1.60228595099761
33.95,34.9765625,35.3040447650146,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,3.82584886599216
31.75,32.8916015625,35.3040447650146,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,4.32603964500595
47.58,33.576171875,35.3040447650146,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,2.58184345302288
64.7,41.72265625,35.3040447650146,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,1.24473616600153
50.32,55.80078125,35.3040447650146,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,1.90746836698963
54.71,30.828125,35.3040447650146,0,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,3.34683233298711
50.83,58.2021484375,52.586616135788,17.2825713707733,80,57,59,20,44,0.12,0.02,0.55,0.25,0.06,0,1.41724462399725
21.02,67.75,52.586616135788,0,30,4,3,45,74,0.12,0.02,0.55,0.25,0.06,0,2.60701880801935
41.45,68.1845703125,52.586616135788,0,56,39,17,84,60,0.12,0.02,0.55,0.25,0.06,0,4.52349648700329
67.28,30.1005859375,52.586616135788,0,78,85,60,78,62,0.12,0.02,0.55,0.25,0.06,0,2.30539585600491
26.2,53.4228515625,52.586616135788,0,2,75,18,46,51,0.12,0.02,0.55,0.25,0.06,0,2.84239190598601
22.14,37.4111328125,60.9262412669373,8.33962513114929,48,84,17,1,85,0.12,0.02,0.55,0.25,0.06,0,1.97341654699994
37.94,43.4072265625,79.431712952652,18.5054716857147,74,46,42,12,34,0.12,0.02,0.55,0.25,0.06,0,2.14687221398344
15.59,50.76171875,79.431712952652,0,9,72,8,21,57,0.12,0.02,0.55,0.25,0.06,0,1.33126744200126
58.09,40.431640625,83.8408301618195,4.40911720916749,29,66,80,35,9,0.12,0.02,0.55,0.25,0.06,0,1.61910543899285
56.51,38.4638671875,83.8408301618195,0,81,78,39,86,38,0.12,0.02,0.55,0.25,0.06,1,3.22176905101514
62.07,30.9462890625,83.8408301618195,0,26,83,74,51,64,0.12,0.02,0.55,0.25,0.06,1,3.29869111001608
70.89,81.740234375,83.8408301618195,0,21,90,97,32,87,0.12,0.02,0.55,0.25,0.06,1,3.14012510099565
11.45,19.01953125,83.8408301618195,0,31,3,5,18,7,0.12,0.02,0.55,0.25,0.06,1,2.80468412701157
38.35,44.947265625,83.8408301618195,0,26,91,46,13,81,0.12,0.02,0.55,0.25,0.06,1,3.61079134501051
63.15,37.701171875,83.8408301618195,0,40,2,86,27,71,0.12,0.02,0.55,0.25,0.06,1,7.66404070501449
68.96,71.4951171875,83.8408301618195,0,36,79,84,54,56,0.12,0.02,0.55,0.25,0.06,1,6.94293169802404
43.94,40.2109375,83.8408301618195,0,12,38,43,51,89,0.12,0.02,0.55,0.25,0.06,1,9.9316640199977
59.18,29.95703125,83.8408301618195,0,30,40,79,41,18,0.12,0.02,0.55,0.25,0.06,1,2.86072827299358
40.65,49.0322265625,83.8408301618195,0,84,57,6,99,23,0.12,0.02,0.55,0.25,0.06,1,3.37689204001799
72.73,58.75390625,94.07427033638,10.2334401745605,61,37,80,63,82,0.12,0.02,0.55,0.25,0.06,0,4.36524928698782
64.78,52.0185546875,105.931546013184,11.8572756768036,29,27,60,94,71,0.12,0.02,0.55,0.25,0.06,0,2.4654262450058
56.99,36.7568359375,105.931546013184,0,26,12,46,97,68,0.12,0.02,0.55,0.25,0.06,0,1.651398254995
81.11,80.533203125,125.914911281433,19.9833652682495,19,5,95,86,83,0.12,0.02,0.55,0.25,0.06,0,4.05531764600892
68.28,52.3330078125,133.199583290024,7.2846720085907,96,60,93,15,11,0.12,0.02,0.55,0.25,0.06,0,3.50329986499855
39.64,30.5107421875,149.032415879669,15.8328325896454,37,77,32,64,1,0.12,0.02,0.55,0.25,0.06,0,4.51100194899482
82.44,45.1533203125,149.032415879669,0,54,34,90,94,38,0.12,0.02,0.55,0.25,0.06,0,2.34272730301018
20.93,37.517578125,155.27502847702,6.24261259735107,40,90,6,41,13,0.12,0.02,0.55,0.25,0.06,0,3.72638379799901
38.92,64.7939453125,155.27502847702,0,9,78,30,58,88,0.12,0.02,0.55,0.25,0.06,0,3.38132321299054
50.81,58.5693359375,172.264663767471,16.989635290451,88,60,65,6,30,0.12,0.02,0.55,0.25,0.06,0,2.56042949398397
69.97,40.634765625,172.264663767471,0,69,19,80,51,76,0.12,0.02,0.55,0.25,0.06,1,5.10753927001497
46.17,43.4052734375,172.264663767471,0,18,8,48,53,70,0.12,0.02,0.55,0.25,0.06,1,2.47481206100201
53.95,58.9384765625,172.264663767471,0,20,67,79,4,96,0.12,0.02,0.55,0.25,0.06,1,2.58271826498094
25.03,47.326171875,172.264663767471,0,98,55,6,35,2,0.12,0.02,0.55,0.25,0.06,1,2.63763856000151
35.58,15.150390625,172.264663767471,0,80,21,14,70,6,0.12,0.02,0.55,0.25,0.06,1,4.89064482101821
65.59,38.8525390625,172.264663767471,0,26,51,100,15,45,0.12,0.02,0.55,0.25,0.06,1,3.81928519200301
44.65,64.173828125,172.264663767471,0,60,10,29,72,55,0.12,0.02,0.55,0.25,0.06,1,3.82429038899136
41.98,54.9521484375,172.264663767471,0,84,58,18,62,89,0.12,0.02,0.55,0.25,0.06,1,17.2119622520113
60.76,38.9833984375,172.264663767471,0,52,63,51,91,41,0.12,0.02,0.55,0.25,0.06,1,6.45910446997732
36.45,36.486328125,172.264663767471,0,54,34,13,66,94,0.12,0.02,0.55,0.25,0.06,1,4.09901730401907
43.66,32.923828125,186.501394440994,14.2367306735229,61,84,22,90,1,0.12,0.02,0.55,0.25,0.06,0,0.000493694009492174
79.3,54.876953125,186.501394440994,0,23,13,91,91,58,0.12,0.02,0.55,0.25,0.06,0,3.95929837800213
62.46,14.3818359375,186.501394440994,0,9,12,77,73,9,0.12,0.02,0.55,0.25,0.06,0,5.70807976499782
31.01,54.0966796875,186.501394440994,0,36,77,13,54,75,0.12,0.02,0.55,0.25,0.06,0,2.55342060700059
47.42,41.919921875,204.988851471939,18.4874570309448,27,57,48,56,44,0.12,0.02,0.55,0.25,0.06,0,3.4628234289994
56.6,65.0361328125,221.430434630432,16.441583158493,69,72,76,4,68,0.12,0.02,0.55,0.25,0.06,0,4.05807857998298
64.89,52.20703125,233.387549814758,11.9571151843262,48,10,61,84,73,0.12,0.02,0.55,0.25,0.06,0,2.13890261101187
21.14,13.916015625,250.778252302246,17.3907024874878,32,7,4,56,16,0.12,0.02,0.55,0.25,0.06,0,4.27480252098758
8.75,10.384765625,270.644629369812,19.8663770675659,27,24,2,15,3,0.12,0.02,0.55,0.25,0.06,0,2.53911920299288
69.88,21.8564453125,270.644629369812,0,98,36,83,41,25,0.12,0.02,0.55,0.25,0.06,0,1.44239024599665
64.12,38.1708984375,270.644629369812,0,24,77,67,71,85,0.12,0.02,0.55,0.25,0.06,1,3.47649906101287
58.36,62.7744140625,270.644629369812,0,52,44,55,65,79,0.12,0.02,0.55,0.25,0.06,1,1.3912413759972
40.93,48.033203125,270.644629369812,0,89,31,14,75,53,0.12,0.02,0.55,0.25,0.06,1,1.10383867300698
71.42,54.953125,270.644629369812,0,78,43,84,54,25,0.12,0.02,0.55,0.25,0.06,1,1.28365701501025
26.11,66.521484375,270.644629369812,0,6,9,17,44,81,0.12,0.02,0.55,0.25,0.06,1,1.98423947597621
48.12,49.40234375,270.644629369812,0,91,58,29,65,64,0.12,0.02,0.55,0.25,0.06,1,6.76789945500786
79.4,75.701171875,270.644629369812,0,50,97,81,93,61,0.12,0.02,0.55,0.25,0.06,1,5.86716609200812
26.02,64.42578125,270.644629369812,0,98,71,1,29,84,0.12,0.02,0.55,0.25,0.06,1,22.882888246997
35.57,29.849609375,270.644629369812,0,44,17,11,80,65,0.12,0.02,0.55,0.25,0.06,1,3.85702710199985
54.27,48.4140625,270.644629369812,0,50,29,64,37,54,0.12,0.02,0.55,0.25,0.06,1,4.85997450799914
32.95,47.587890625,279.931237272339,9.28660790252685,76,84,10,51,65,0.12,0.02,0.55,0.25,0.06,0,2.21174913499271
77.02,23.6357421875,279.931237272339,0,15,0,97,81,27,0.12,0.02,0.55,0.25,0.06,0,8.64903677502298
58.71,45.154296875,290.743382911682,10.8121456393433,28,12,48,93,91,0.12,0.02,0.55,0.25,0.06,0,5.48565463299747
69.65,36.3671875,290.743382911682,0,24,39,97,28,94,0.12,0.02,0.55,0.25,0.06,0,3.07595365098678
67.34,75.8642578125,307.110234348984,16.3668514373016,77,88,87,15,79,0.12,0.02,0.55,0.25,0.06,0,2.90025909699034
61.5,63.2958984375,326.948971789093,19.8387374401093,91,84,71,31,35,0.12,0.02,0.55,0.25,0.06,0,2.69264689899865
34.59,24.8095703125,342.166131545486,15.2171597563934,24,9,19,62,93,0.12,0.02,0.55,0.25,0.06,0,8.04671673700796
41.75,55.572265625,352.613380195084,10.4472486495972,69,56,26,53,80,0.12,0.02,0.55,0.25,0.06,0,8.75652260801871
23.8,16.759765625,370.135135192337,17.5217549972534,30,18,2,74,4,0.12,0.02,0.55,0.25,0.06,0,4.19643873700988
23,46.3603515625,370.135135192337,0,43,83,1,51,48,0.12,0.02,0.55,0.25,0.06,0,7.84818441598327
23.63,34.2587890625,370.135135192337,0,3,1,33,6,60,0.12,0.02,0.55,0.25,0.06,1,6.19505524399574
16.18,29.6533203125,370.135135192337,0,89,41,4,8,8,0.12,0.02,0.55,0.25,0.06,1,2.12601670000004
39.38,70.8984375,370.135135192337,0,81,80,2,86,91,0.12,0.02,0.55,0.25,0.06,1,14.5521513699787
67.92,40.0595703125,370.135135192337,0,40,29,84,62,14,0.12,0.02,0.55,0.25,0.06,1,1.23620100499829
61,61.9052734375,370.135135192337,0,23,84,84,22,81,0.12,0.02,0.55,0.25,0.06,1,1.5066929589957
52.36,46.8701171875,370.135135192337,0,54,61,52,64,1,0.12,0.02,0.55,0.25,0.06,1,1.44580745900748
29.96,51.0732421875,370.135135192337,0,2,69,17,69,29,0.12,0.02,0.55,0.25,0.06,1,0.883912096003769
32.2,31.1181640625,370.135135192337,0,6,58,30,32,97,0.12,0.02,0.55,0.25,0.06,1,1.544757828
19.02,38.0595703125,370.135135192337,0,19,35,10,40,9,0.12,0.02,0.55,0.25,0.06,1,2.34687032399233
10.64,38.494140625,370.135135192337,0,50,74,1,9,6,0.12,0.02,0.55,0.25,0.06,1,2.56352956400951
51.72,10.078125,370.135135192337,0,88,99,52,20,93,0.12,0.02,0.55,0.25,0.06,0,0.000695146998623386
59.16,45.3271484375,380.567746074829,10.4326108824921,65,79,51,79,33,0.12,0.02,0.55,0.25,0.06,0,2.68142668501241
5.65,38.625,380.567746074829,0,11,90,0,7,13,0.12,0.02,0.55,0.25,0.06,0,2.01863985601813
30.53,48.802734375,383.873104997864,3.30535892303467,94,30,21,26,10,0.12,0.02,0.55,0.25,0.06,0,2.18325051301508
49.64,46.9892578125,403.521783290634,19.6486782927704,40,73,65,25,23,0.12,0.02,0.55,0.25,0.06,0,3.45307393299299
63.76,39.27734375,403.521783290634,0,50,86,63,75,44,0.12,0.02,0.55,0.25,0.06,0,2.95085149697843
40.82,30.5771484375,418.275982884064,14.7541995934296,40,72,37,55,8,0.12,0.02,0.55,0.25,0.06,0,2.21323784600827
60.4,34.2158203125,418.275982884064,0,59,28,74,30,76,0.12,0.02,0.55,0.25,0.06,0,3.06595336800092
19.16,16.921875,438.025522708282,19.7495398242188,23,0,14,30,20,0.12,0.02,0.55,0.25,0.06,0,3.72331694199238
65.76,42.775390625,438.025522708282,0,55,21,78,48,64,0.12,0.02,0.55,0.25,0.06,0,4.44208701499156
51.55,22.02734375,438.025522708282,0,17,92,72,15,72,0.12,0.02,0.55,0.25,0.06,1,3.58997965900926
42.24,53.529296875,438.025522708282,0,19,83,20,96,55,0.12,0.02,0.55,0.25,0.06,1,5.404245052021
55.26,30.6640625,438.025522708282,0,22,21,63,63,30,0.12,0.02,0.55,0.25,0.06,1,3.96725788898766
67.86,64.0986328125,438.025522708282,0,82,42,81,27,98,0.12,0.02,0.55,0.25,0.06,1,2.35770388698438
36.73,36.4765625,438.025522708282,0,87,45,34,3,99,0.12,0.02,0.55,0.25,0.06,1,3.09396471898071
15.5,29.7412109375,438.025522708282,0,68,19,5,1,66,0.12,0.02,0.55,0.25,0.06,1,5.8973138500005
27.69,42.61328125,438.025522708282,0,11,31,31,12,95,0.12,0.02,0.55,0.25,0.06,1,1.60013126200647
63.63,40.103515625,438.025522708282,0,98,90,80,7,72,0.12,0.02,0.55,0.25,0.06,1,4.92769171702093
46.82,49.75,438.025522708282,0,46,15,65,3,75,0.12,0.02,0.55,0.25,0.06,1,0.814590794005198
50.26,53.486328125,438.025522708282,0,89,1,33,83,11,0.12,0.02,0.55,0.25,0.06,1,1.13522198999999
22.82,56.2548828125,438.025522708282,0,2,81,25,25,16,0.12,0.02,0.55,0.25,0.06,0,2.24244114701287
29.87,35.0732421875,456.671836245193,18.646313536911,28,43,26,37,35,0.12,0.02,0.55,0.25,0.06,0,2.21391647000564
34.31,41.75390625,473.901249232254,17.2294129870605,33,30,32,27,90,0.12,0.02,0.55,0.25,0.06,0,1.85824206800316
51.9,48.9560546875,493.467908532104,19.5666592998505,97,90,37,65,31,0.12,0.02,0.55,0.25,0.06,0,10.1017907070054
62.38,45.06640625,498.479882105102,5.01197357299804,81,80,79,11,81,0.12,0.02,0.55,0.25,0.06,0,0.85494812898105
32.45,46.9130859375,508.020839363327,9.54095725822449,78,89,32,11,16,0.12,0.02,0.55,0.25,0.06,0,2.98747752100462
48.43,49.748046875,527.933976985092,19.9131376217651,67,71,24,81,92,0.12,0.02,0.55,0.25,0.06,0,0.576329711999279
60.34,47.021484375,539.064834062424,11.1308570773315,98,100,52,70,8,0.12,0.02,0.55,0.25,0.06,0,6.88874673898681
59.06,78.09765625,540.943216287765,1.8783822253418,90,81,36,98,39,0.12,0.02,0.55,0.25,0.06,0,3.03745965700364
41.16,2.91796875,540.943216287765,0,2,2,54,44,3,0.12,0.02,0.55,0.25,0.06,0,4.99297734399443
53.79,40.458984375,540.943216287765,0,37,42,41,100,16,0.12,0.02,0.55,0.25,0.06,1,2.73871134000365
78.12,66.3447265625,540.943216287765,0,44,27,97,59,70,0.12,0.02,0.55,0.25,0.06,1,0.891794225026388
65.9,72.69921875,540.943216287765,0,65,76,89,25,23,0.12,0.02,0.55,0.25,0.06,1,0.912753956014058
65.77,63.4228515625,540.943216287765,0,60,24,73,66,24,0.12,0.02,0.55,0.25,0.06,1,1.02809435597737
42.56,52.615234375,540.943216287765,0,19,31,37,59,76,0.12,0.02,0.55,0.25,0.06,1,3.87556399399182
47.75,49.7685546875,540.943216287765,0,32,50,58,27,71,0.12,0.02,0.55,0.25,0.06,1,1.59772617998533
49.39,54.55859375,540.943216287765,0,46,65,50,43,72,0.12,0.02,0.55,0.25,0.06,1,0.797448886994971
55.79,55.3408203125,540.943216287765,0,1,8,58,81,56,0.12,0.02,0.55,0.25,0.06,1,1.14998249599012
67.63,54.40625,540.943216287765,0,60,22,92,21,69,0.12,0.02,0.55,0.25,0.06,1,1.19979534199229
57.45,66.84375,540.943216287765,0,38,21,82,11,77,0.12,0.02,0.55,0.25,0.06,1,2.40765729401028
56.13,56.708984375,560.926455142441,19.9832388546753,48,95,55,52,87,0.12,0.02,0.55,0.25,0.06,0,0.000620311999227852
17.13,63.2265625,560.926455142441,0,65,33,1,14,77,0.12,0.02,0.55,0.25,0.06,0,1.49254562097485
70.19,61.7490234375,577.363950876007,16.4374957335663,83,66,58,91,71,0.12,0.02,0.55,0.25,0.06,0,2.30558641199605
47.68,67.08203125,578.542010044708,1.17805916870117,48,71,64,2,80,0.12,0.02,0.55,0.25,0.06,0,1.61607972899219
54.17,60.29296875,596.667472729034,18.1254626843262,75,39,59,24,99,0.12,0.02,0.55,0.25,0.06,0,3.60557706799591
85.22,53.080078125,596.667472729034,0,59,20,99,85,34,0.12,0.02,0.55,0.25,0.06,0,3.16889487300068
58.9,56.33984375,616.339752727814,19.6722799987793,66,93,56,62,47,0.12,0.02,0.55,0.25,0.06,0,2.64662368298741
28.68,43.0439453125,626.023606480789,9.68385375297546,99,93,3,45,34,0.12,0.02,0.55,0.25,0.06,0,4.75400514999637
56.23,44.4443359375,639.078512611084,13.0549061302948,16,30,72,49,31,0.12,0.02,0.55,0.25,0.06,0,1.75810973098851
53.59,63.1826171875,654.477597385788,15.399084774704,92,70,28,79,100,0.12,0.02,0.55,0.25,0.06,0,2.3417201419943
70.01,49.810546875,654.477597385788,0,70,47,80,53,57,0.12,0.02,0.55,0.25,0.06,1,2.87002945601125
54.72,59.9677734375,654.477597385788,0,97,94,59,23,50,0.12,0.02,0.55,0.25,0.06,1,1.89729977797833
41.91,51.853515625,654.477597385788,0,44,33,60,9,12,0.12,0.02,0.55,0.25,0.06,1,0.620344755006954
63.51,38.3837890625,654.477597385788,0,97,95,38,99,72,0.12,0.02,0.55,0.25,0.06,1,0.716396433010232
77.94,57.9912109375,654.477597385788,0,92,33,84,60,84,0.12,0.02,0.55,0.25,0.06,1,1.04823102601222
46.87,71.7978515625,654.477597385788,0,9,35,43,80,24,0.12,0.02,0.55,0.25,0.06,1,0.966381385020213
59.63,54.265625,654.477597385788,0,0,39,92,15,75,0.12,0.02,0.55,0.25,0.06,1,1.23172617901582
30.94,54.6787109375,654.477597385788,0,95,25,16,34,29,0.12,0.02,0.55,0.25,0.06,1,1.15833719700458
40.27,43.9794921875,654.477597385788,0,27,47,56,1,84,0.12,0.02,0.55,0.25,0.06,1,3.1444401369954
28.76,36.5380859375,654.477597385788,0,14,76,8,76,36,0.12,0.02,0.55,0.25,0.06,1,2.00079517398262
24.35,40.0029296875,662.226886995697,7.74928960990906,24,76,6,45,90,0.12,0.02,0.55,0.25,0.06,0,4.17142370098736
