Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,51.4404296875,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,8.9657602859661
49.63,77.1416015625,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,13.1350548551418
27.79,65.236328125,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,10.5650037131272
51.97,88.6884765625,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,10.9486757079139
46.5,49.091796875,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,33.1805780997965
54.3,48.873046875,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,7.81156897288747
69.35,54.6533203125,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,14.2278474771883
54.5,60.66015625,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,9.73246261803433
42.84,60.791015625,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,6.27843648917042
67.27,63.6357421875,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,7.10212280787528
55.99,64.927734375,16.0058452120972,16.0058452120972,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,7.6765478248708
60.81,62.482421875,35.8659954656982,19.8601502536011,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,15.3127898899838
53.14,61.7001953125,52.2021482762909,16.3361528105927,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,7.18790392111987
34.4,43.232421875,68.301564467392,16.0994161911011,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,17.2998078810051
36.49,33.2060546875,87.7623496266174,19.4607851592255,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,17.8608992188238
68.56,53.9443359375,97.0814678272247,9.3191182006073,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,8.0153721771203
49.64,39.9853515625,112.420856004639,15.3393881774139,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,3.36476739519276
31.58,28.796875,132.033566766357,19.6127107617187,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,14.4119880648796
