Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,30.54296875,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,17.7448948749807
49.63,49.498046875,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,3.6818359309691
27.79,26.990234375,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,14.7802556309616
51.97,69.7666015625,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,1.85448534600437
46.5,57.208984375,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,0.411746329977177
54.3,21.3408203125,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,1.05162071599625
69.35,71.2109375,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,1.89770850399509
54.5,20.5146484375,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,4.73355873202672
42.84,16.1904296875,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,4.43548713804921
67.27,88.318359375,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,1.93465643498348
55.99,54.740234375,19.9219042941284,19.9219042941284,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,4.84837587398943
60.81,51.1982421875,35.3026098818207,15.3807055876923,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,3.32936009502737
53.14,64.8203125,48.4811248769379,13.1785149951172,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,1.9365238060127
34.4,14.537109375,48.7544036779022,0.273278800964356,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,1.55252483597724
36.49,20.044921875,55.2323739510345,6.47797027313232,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,1.88844596600393
68.56,84.2431640625,62.93429220047,7.70191824943543,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,1.55476745200576
49.64,56.6513671875,80.4763287085724,17.5420365081024,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,1.10645607102197
31.58,17.154296875,90.0712831760407,9.59495446746826,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,2.32499315898167
36.18,17.404296875,92.4449317841339,2.37364860809326,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,0.924033955961931
43.28,57.052734375,102.960521175919,10.5155893917847,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,3.79918752395315
28.69,49.4912109375,102.960521175919,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,5.0303189069964
24.13,45.470703125,102.960521175919,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,3.39333227695897
45.77,43.0595703125,102.960521175919,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,0.415407830034383
38.67,39.7021484375,102.960521175919,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,0.91149160801433
31.51,48.2841796875,102.960521175919,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,1.79596622497775
33.95,30.0126953125,102.960521175919,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,3.26686998299556
31.75,72.1591796875,102.960521175919,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,1.49453449604334
47.58,60.080078125,102.960521175919,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,5.5224192860187
64.7,56.7333984375,102.960521175919,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,2.25696203002008
50.32,43.578125,102.960521175919,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,1.14961700199638
54.71,32.1279296875,102.960521175919,0,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,2.81890981300967
50.83,47.400390625,122.372410152664,19.4118889767456,80,57,59,20,44,0.12,0.02,0.55,0.25,0.06,0,2.510719006008
21.02,20.3193359375,142.34786364624,19.9754534935761,30,4,3,45,74,0.12,0.02,0.55,0.25,0.06,0,1.35165982501348
41.45,27.4892578125,152.602747524948,10.2548838787079,56,39,17,84,60,0.12,0.02,0.55,0.25,0.06,0,0.679659190005623
67.28,63.1298828125,171.741573891449,19.1388263665009,78,85,60,78,62,0.12,0.02,0.55,0.25,0.06,0,1.51416278100805
26.2,31.388671875,190.395458100128,18.6538842086792,2,75,18,46,51,0.12,0.02,0.55,0.25,0.06,0,1.38053722598124
22.14,58.70703125,190.395458100128,0,48,84,17,1,85,0.12,0.02,0.55,0.25,0.06,0,1.03529803297715
37.94,31.3544921875,208.227012442703,17.8315543425751,74,46,42,12,34,0.12,0.02,0.55,0.25,0.06,0,0.895062868017703
15.59,10.388671875,226.874321729507,18.6473092868042,9,72,8,21,57,0.12,0.02,0.55,0.25,0.06,0,1.08218018803746
58.09,78.6064453125,226.874321729507,0,29,66,80,35,9,0.12,0.02,0.55,0.25,0.06,0,1.1739672900294
56.51,49.677734375,226.874321729507,0,81,78,39,86,38,0.12,0.02,0.55,0.25,0.06,1,1.50068428000668
62.07,50.3076171875,226.874321729507,0,26,83,74,51,64,0.12,0.02,0.55,0.25,0.06,1,0.616247129975818
70.89,52.4892578125,226.874321729507,0,21,90,97,32,87,0.12,0.02,0.55,0.25,0.06,1,0.479963544989005
11.45,12.5576171875,226.874321729507,0,31,3,5,18,7,0.12,0.02,0.55,0.25,0.06,1,0.965644782001618
38.35,53.78125,226.874321729507,0,26,91,46,13,81,0.12,0.02,0.55,0.25,0.06,1,0.807090451009572
63.15,36.0732421875,226.874321729507,0,40,2,86,27,71,0.12,0.02,0.55,0.25,0.06,1,0.379031456017401
68.96,72.08203125,226.874321729507,0,36,79,84,54,56,0.12,0.02,0.55,0.25,0.06,1,0.696980989014264
43.94,43.240234375,226.874321729507,0,12,38,43,51,89,0.12,0.02,0.55,0.25,0.06,1,2.07737079903018
59.18,76.62109375,226.874321729507,0,30,40,79,41,18,0.12,0.02,0.55,0.25,0.06,1,1.04964668501634
40.65,81.6923828125,226.874321729507,0,84,57,6,99,23,0.12,0.02,0.55,0.25,0.06,1,1.31147369800601
72.73,69.775390625,246.437835901566,19.5635141720581,61,37,80,63,82,0.12,0.02,0.55,0.25,0.06,0,1.44891704799375
64.78,54.099609375,260.734298706436,14.2964628048706,29,27,60,94,71,0.12,0.02,0.55,0.25,0.06,0,1.41291268204805
56.99,54.9794921875,280.53219162323,19.7978929167938,26,12,46,97,68,0.12,0.02,0.55,0.25,0.06,0,0.922466221032664
81.11,86.9150390625,298.847267697372,18.3150760741425,19,5,95,86,83,0.12,0.02,0.55,0.25,0.06,0,1.14827884099213
68.28,83.677734375,306.99275650322,8.14548880584717,96,60,93,15,11,0.12,0.02,0.55,0.25,0.06,0,1.18038732698187
39.64,38.1845703125,326.886842724457,19.8940862212372,37,77,32,64,1,0.12,0.02,0.55,0.25,0.06,0,1.14751549303764
82.44,69.1650390625,338.075613329849,11.1887706053925,54,34,90,94,38,0.12,0.02,0.55,0.25,0.06,0,0.923661647946574
20.93,29.0712890625,354.76158394989,16.6859706200409,40,90,6,41,13,0.12,0.02,0.55,0.25,0.06,0,1.59753384196665
38.92,46.0390625,372.227531405945,17.4659474560547,9,78,30,58,88,0.12,0.02,0.55,0.25,0.06,0,0.707634388993029
50.81,35.8828125,381.086485072937,8.85895366699219,88,60,65,6,30,0.12,0.02,0.55,0.25,0.06,0,1.16504313598853
69.97,53.794921875,381.086485072937,0,69,19,80,51,76,0.12,0.02,0.55,0.25,0.06,1,0.915462255012244
46.17,63.994140625,381.086485072937,0,18,8,48,53,70,0.12,0.02,0.55,0.25,0.06,1,0.598858091980219
53.95,57.8671875,381.086485072937,0,20,67,79,4,96,0.12,0.02,0.55,0.25,0.06,1,0.351258534996305
25.03,54.68359375,381.086485072937,0,98,55,6,35,2,0.12,0.02,0.55,0.25,0.06,1,0.418331744964235
35.58,50.6103515625,381.086485072937,0,80,21,14,70,6,0.12,0.02,0.55,0.25,0.06,1,3.17044231004547
65.59,46.7763671875,381.086485072937,0,26,51,100,15,45,0.12,0.02,0.55,0.25,0.06,1,0.281351497978903
44.65,66.8291015625,381.086485072937,0,60,10,29,72,55,0.12,0.02,0.55,0.25,0.06,1,0.27893299103016
41.98,37.4990234375,381.086485072937,0,84,58,18,62,89,0.12,0.02,0.55,0.25,0.06,1,0.276496063976083
60.76,43.72265625,381.086485072937,0,52,63,51,91,41,0.12,0.02,0.55,0.25,0.06,1,0.570952048990875
36.45,50.7705078125,381.086485072937,0,54,34,13,66,94,0.12,0.02,0.55,0.25,0.06,1,0.637342176982202
43.66,23.853515625,381.471643908081,0.385158835144036,61,84,22,90,1,0.12,0.02,0.55,0.25,0.06,0,2.93225433398038
79.3,62.7734375,387.815280504761,6.34363659667967,23,13,91,91,58,0.12,0.02,0.55,0.25,0.06,0,1.56321689800825
62.46,59.927734375,407.494662044983,19.6793815402222,9,12,77,73,9,0.12,0.02,0.55,0.25,0.06,0,1.04260264901677
31.01,15.2822265625,415.126519179916,7.63185713493347,36,77,13,54,75,0.12,0.02,0.55,0.25,0.06,0,1.12758333102101
47.42,24.3193359375,415.126519179916,0,27,57,48,56,44,0.12,0.02,0.55,0.25,0.06,0,0.62538110895548
56.6,57.8525390625,435.048076474762,19.9215572948456,69,72,76,4,68,0.12,0.02,0.55,0.25,0.06,0,1.03133075701771
64.89,42.7109375,435.048076474762,0,48,10,61,84,73,0.12,0.02,0.55,0.25,0.06,0,0.876743695989717
21.14,12.51171875,451.325714608307,16.2776381335449,32,7,4,56,16,0.12,0.02,0.55,0.25,0.06,0,1.09673550300067
8.75,14.8369140625,469.473188468094,18.147473859787,27,24,2,15,3,0.12,0.02,0.55,0.25,0.06,0,0.762906091986224
69.88,66.4677734375,488.891023962402,19.4178354943085,98,36,83,41,25,0.12,0.02,0.55,0.25,0.06,0,0.851174134993926
64.12,54.34375,488.891023962402,0,24,77,67,71,85,0.12,0.02,0.55,0.25,0.06,1,1.40909385198029
58.36,64.5,488.891023962402,0,52,44,55,65,79,0.12,0.02,0.55,0.25,0.06,1,0.536762713978533
40.93,25.6875,488.891023962402,0,89,31,14,75,53,0.12,0.02,0.55,0.25,0.06,1,0.660148900991771
