Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,52.7783203125,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,3.66329780401429
49.63,52.681640625,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,4.42629265098367
27.79,75.89453125,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,2.19010575703578
51.97,69.224609375,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,2.10133214801317
46.5,53.505859375,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,2.16050921101123
54.3,38.4384765625,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,3.21714018698549
69.35,60.642578125,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,2.29436926799826
54.5,60.642578125,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,2.91378432000056
42.84,55.0263671875,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,2.94837298901984
67.27,55.0263671875,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,1.54907414299669
55.99,54.265625,19.8513265429687,19.8513265429687,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,2.47953636298189
60.81,77.4677734375,25.9772557482147,6.12592920524597,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,3.4419291819795
53.14,51.72265625,45.8768125829315,19.8995568347168,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,9.05230541503988
34.4,55.3623046875,45.8768125829315,0,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,2.56057685601991
36.49,21.39453125,54.4831537438202,8.60634116088867,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,3.15915143600432
68.56,31.626953125,54.4831537438202,0,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,5.05336119001731
49.64,38.9052734375,68.721436025238,14.2382822814178,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,1.70957881998038
31.58,22.2314453125,84.3516622879791,15.6302262627411,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,2.11111455602804
36.18,27.75,100.798417287979,16.446755,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,1.56830971100135
