Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,32.4326171875,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,7.25996846309863
49.63,68.3671875,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,4.69130385201424
27.79,2.4638671875,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,10.1477304089349
51.97,54.5400390625,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,3.78053632308729
46.5,85.9541015625,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,2.57105782884173
54.3,52.126953125,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,3.41068222699687
69.35,84.07421875,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,5.92023619799875
54.5,16.703125,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,3.70234504784457
42.84,76.5458984375,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,2.92739442782477
67.27,13.890625,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,1.5213900229428
55.99,58.384765625,19.7132548800659,19.7132548800659,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,7.35256746201776
60.81,77.2314453125,26.2300615724945,6.51680669242859,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,4.05784211400896
53.14,26.373046875,26.2300615724945,0,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,2.15511722886004
34.4,71.681640625,26.2300615724945,0,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,2.49026425997727
36.49,40.875,45.2686503224945,19.03858875,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,1.27582435612567
68.56,22.13671875,45.2686503224945,0,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,1.30348733114079
49.64,57.365234375,62.2846880150604,17.0160376925659,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,3.28131744195707
31.58,54.693359375,62.2846880150604,0,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,3.50603426084854
36.18,27.025390625,78.0943443746185,15.8096563595581,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,2.58580197696574
43.28,50.9130859375,95.1811443281555,17.086799953537,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,2.68739512492903
28.69,73.7890625,95.1811443281555,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,5.05468811001629
24.13,33.064453125,95.1811443281555,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,4.08851561811753
45.77,59.61328125,95.1811443281555,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,2.54565506405197
38.67,74.8427734375,95.1811443281555,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,1.69075769814663
31.51,35.921875,95.1811443281555,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,0.623002385022119
33.95,27.0361328125,95.1811443281555,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,0.582604636903852
31.75,31.349609375,95.1811443281555,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,0.568012129981071
47.58,30.556640625,95.1811443281555,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,0.929914616979659
64.7,42.9189453125,95.1811443281555,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,0.780446790857241
50.32,54.021484375,95.1811443281555,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,1.07807271392085
54.71,26.0927734375,95.1811443281555,0,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,1.18960129702464
50.83,31.2197265625,95.9530031134796,0.771858785324085,80,57,59,20,44,0.12,0.02,0.55,0.25,0.06,0,0.86088401498273
21.02,32.7734375,109.045838460159,13.0928353466797,30,4,3,45,74,0.12,0.02,0.55,0.25,0.06,0,0.625295090954751
41.45,34.5771484375,126.684034030151,17.6381955699921,56,39,17,84,60,0.12,0.02,0.55,0.25,0.06,0,0.591556940926239
67.28,35.021484375,126.684034030151,0,78,85,60,78,62,0.12,0.02,0.55,0.25,0.06,0,0.815060866065323
26.2,35.7822265625,142.093080735397,15.409046705246,2,75,18,46,51,0.12,0.02,0.55,0.25,0.06,0,0.525152097921818
22.14,37.5859375,150.164231472702,8.07115073730469,48,84,17,1,85,0.12,0.02,0.55,0.25,0.06,0,1.37454370898195
37.94,53.837890625,157.527085156479,7.36285368377685,74,46,42,12,34,0.12,0.02,0.55,0.25,0.06,0,3.38291910290718
15.59,59.1279296875,157.527085156479,0,9,72,8,21,57,0.12,0.02,0.55,0.25,0.06,0,0.787355457199737
58.09,37.3369140625,157.527085156479,0,29,66,80,35,9,0.12,0.02,0.55,0.25,0.06,0,1.25087004317902
56.51,75.833984375,157.527085156479,0,81,78,39,86,38,0.12,0.02,0.55,0.25,0.06,1,4.741651867982
62.07,61.201171875,157.527085156479,0,26,83,74,51,64,0.12,0.02,0.55,0.25,0.06,1,4.300523590995
70.89,87.25,157.527085156479,0,21,90,97,32,87,0.12,0.02,0.55,0.25,0.06,1,1.3969767850358
11.45,51.044921875,157.527085156479,0,31,3,5,18,7,0.12,0.02,0.55,0.25,0.06,1,1.2205271711573
38.35,81.3857421875,157.527085156479,0,26,91,46,13,81,0.12,0.02,0.55,0.25,0.06,1,1.26795623195358
63.15,67.166015625,157.527085156479,0,40,2,86,27,71,0.12,0.02,0.55,0.25,0.06,1,1.38493559882045
68.96,34.447265625,157.527085156479,0,36,79,84,54,56,0.12,0.02,0.55,0.25,0.06,1,2.31338358996436
43.94,87.6533203125,157.527085156479,0,12,38,43,51,89,0.12,0.02,0.55,0.25,0.06,1,2.0918012810871
59.18,26.322265625,157.527085156479,0,30,40,79,41,18,0.12,0.02,0.55,0.25,0.06,1,2.39892054605298
40.65,13.982421875,157.527085156479,0,84,57,6,99,23,0.12,0.02,0.55,0.25,0.06,1,3.03773541608825
