Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,52.4423828125,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,12.7369074050803
49.63,34.498046875,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,3.07946317503229
27.79,54.703125,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,1.51483919820748
51.97,62.98046875,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,2.54170078109019
46.5,51.1279296875,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,2.45470427698456
54.3,56.4521484375,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,1.89123357692733
69.35,82.1533203125,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,1.73523404006846
54.5,78.806640625,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,1.9130852969829
42.84,57.77734375,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,1.79555874294601
67.27,66.0556640625,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,2.68267175112851
55.99,63.958984375,16.8247644015503,16.8247644015503,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,3.65407953807153
60.81,49.185546875,30.0683688787842,13.2436044772339,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,1.59179074014537
53.14,63.666015625,44.528518631897,14.4601497531128,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,1.08645587903447
34.4,38.8125,63.555010819397,19.0264921875,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,1.42551952088252
36.49,32.294921875,82.6750767956543,19.1200659762573,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,3.27881000586785
68.56,41.2138671875,82.6750767956543,0,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,1.24810409289785
49.64,42.5068359375,100.130975318527,17.4558985228729,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,1.23621077206917
31.58,27.8310546875,119.428245770721,19.2972704521942,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,1.02527810097672
36.18,21.595703125,128.793160003815,9.36491423309326,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,1.4549982692115
43.28,34.490234375,144.930161016693,16.1370010128784,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,1.60301039810292
28.69,23.4326171875,144.930161016693,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,4.05178493098356
24.13,17.5126953125,144.930161016693,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,2.32685905881226
45.77,27.212890625,144.930161016693,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,2.22466176911257
38.67,25.345703125,144.930161016693,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,2.51894032186829
31.51,29.4951171875,144.930161016693,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,1.60055441712029
33.95,35.0244140625,144.930161016693,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,1.08815609314479
31.75,45.181640625,144.930161016693,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,1.1247835920658
47.58,16.623046875,144.930161016693,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,1.43202973902225
64.7,31.6357421875,144.930161016693,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,3.1502776760608
50.32,35.1005859375,144.930161016693,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,1.87011694000103
54.71,36.6865234375,148.687875646744,3.75771463005066,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,2.13091072090901
50.83,33.5263671875,153.717090221252,5.02921457450866,80,57,59,20,44,0.12,0.02,0.55,0.25,0.06,0,2.73892886005342
21.02,7.7275390625,164.882614332504,11.1655241112518,30,4,3,45,74,0.12,0.02,0.55,0.25,0.06,0,1.37027234002016
41.45,18.14453125,164.882614332504,0,56,39,17,84,60,0.12,0.02,0.55,0.25,0.06,0,2.50579323200509
67.28,52.080078125,173.330733082199,8.44811874969482,78,85,60,78,62,0.12,0.02,0.55,0.25,0.06,0,2.66626787092537
26.2,55.81640625,173.330733082199,0,2,75,18,46,51,0.12,0.02,0.55,0.25,0.06,0,0.964219425106421
22.14,14.2021484375,190.180258710785,16.8495256285858,48,84,17,1,85,0.12,0.02,0.55,0.25,0.06,0,2.90814304887317
37.94,25.4775390625,202.414612079849,12.2343533690643,74,46,42,12,34,0.12,0.02,0.55,0.25,0.06,0,2.18058646214195
15.59,18.296875,222.048253466568,19.6336413867188,9,72,8,21,57,0.12,0.02,0.55,0.25,0.06,0,1.74630985292606
58.09,72.6435546875,231.457955764465,9.40970229789733,29,66,80,35,9,0.12,0.02,0.55,0.25,0.06,0,2.33802294498309
56.51,57.2177734375,231.457955764465,0,81,78,39,86,38,0.12,0.02,0.55,0.25,0.06,1,1.6672377071809
62.07,57.2177734375,231.457955764465,0,26,83,74,51,64,0.12,0.02,0.55,0.25,0.06,1,0.895843866048381
