Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,67.7685546875,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,5.43605025000215
49.63,22.0693359375,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,2.29386978899856
27.79,22.0693359375,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,0.177425745001528
51.97,34.30078125,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,2.13095836399953
46.5,34.30078125,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,1.54862810299892
54.3,50.3564453125,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,2.23102748599922
69.35,80.6630859375,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,1.63571553399743
54.5,56.0810546875,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,1.73791717000131
42.84,31.140625,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,1.67572672299866
67.27,53.484375,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,1.24035421600274
55.99,56.765625,19.9699202929688,19.9699202929688,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,2.96227506200012
60.81,48.107421875,31.9021457418823,11.9322254489136,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,1.07960789500066
53.14,37.2666015625,39.3039068441009,7.40176110221861,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,1.89962180200018
34.4,27.0439453125,56.5983298158264,17.2944229717255,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,1.41344885799845
36.49,43.099609375,74.413983011322,17.8156531954956,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,1.29088725999827
68.56,62.326171875,92.47095235672,18.0569693453979,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,1.62948083199808
49.64,51.2890625,112.334982000275,19.8640296435547,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,1.0820839750013
31.58,23.068359375,128.712580693817,16.3775986935425,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,1.18889408399991
36.18,23.3291015625,140.45530116127,11.742720467453,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,2.21199575300125
43.28,23.3291015625,140.553383738098,0.0980825768279985,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,1.40098720199967
28.69,37.80859375,140.553383738098,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,2.21392338700025
24.13,36.158203125,140.553383738098,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,1.51527389599869
45.77,34.3115234375,140.553383738098,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,1.65432915699785
38.67,18.99609375,140.553383738098,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,1.75582915499763
31.51,42.1982421875,140.553383738098,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,1.5732942020004
33.95,29.9560546875,140.553383738098,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,1.06998055200165
