Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,36.486328125,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,33.381480273998
49.63,68.87890625,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,3.60378172199853
27.79,29.6533203125,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,3.08087450099993
51.97,47.4462890625,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,1.8365216639977
46.5,49.771484375,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,1.21828689999893
54.3,50.7275390625,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,1.59337572999721
69.35,53.3125,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,0.881433596001443
54.5,65.8369140625,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,1.72624969000026
42.84,59.677734375,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,0.945334125997761
67.27,33.18359375,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,1.33925177299898
55.99,29.642578125,0,0,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,0.000621273000433575
60.81,49.814453125,13.9548974459839,13.9548974459839,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,2.1444560609998
53.14,44.1005859375,29.8693471163177,15.9144496703339,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,3.04807021699889
34.4,22.4619140625,42.743452323761,12.8741052074432,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,2.8181941690018
36.49,36.6376953125,62.7423616284943,19.9989093047333,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,1.43007866300104
68.56,63.576171875,81.5004344895172,18.7580728610229,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,1.28270017899922
49.64,49.357421875,101.496441969681,19.9960074801636,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,1.20572490300037
31.58,47.771484375,108.388233656387,6.89179168670655,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,1.85994575999939
36.18,50.9208984375,117.523529319153,9.1352956627655,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,1.47160734200224
43.28,40.232421875,137.059142697754,19.5356133786011,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,1.01859504299864
28.69,37.3095703125,137.059142697754,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,1.13376112500191
24.13,35.84375,137.059142697754,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,2.29648878700027
45.77,52.810546875,137.059142697754,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,1.29881360999934
38.67,41.3505859375,137.059142697754,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,1.02292228099759
31.51,42.6328125,137.059142697754,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,1.00643806099833
33.95,27.90234375,137.059142697754,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,1.02256157399825
31.75,53.58203125,137.059142697754,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,1.31804383400231
47.58,37.80859375,137.059142697754,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,1.41700211399802
64.7,50.572265625,137.059142697754,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,0.816238901999895
50.32,41.8056640625,137.059142697754,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,0.871861412997532
54.71,41.740234375,148.648401679382,11.5892589816284,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,1.70290107599794
50.83,47.91015625,168.222127303162,19.5737256237793,80,57,59,20,44,0.12,0.02,0.55,0.25,0.06,0,1.48844531400027
21.02,36.1025390625,176.84797807457,8.62585077140807,30,4,3,45,74,0.12,0.02,0.55,0.25,0.06,0,1.06702678500005
41.45,42.5224609375,196.790469451446,19.9424913768768,56,39,17,84,60,0.12,0.02,0.55,0.25,0.06,0,0.887086020000424
67.28,62.064453125,215.43037299118,18.6399035397339,78,85,60,78,62,0.12,0.02,0.55,0.25,0.06,0,1.45018938499925
26.2,50.4521484375,215.43037299118,0,2,75,18,46,51,0.12,0.02,0.55,0.25,0.06,0,0.678224923998641
22.14,56.3505859375,215.43037299118,0,48,84,17,1,85,0.12,0.02,0.55,0.25,0.06,0,1.48956953599918
37.94,30.2255859375,232.454763774795,17.0243907836151,74,46,42,12,34,0.12,0.02,0.55,0.25,0.06,0,0.94815836899943
15.59,40.28515625,232.454763774795,0,9,72,8,21,57,0.12,0.02,0.55,0.25,0.06,0,1.02080084699992
58.09,44.966796875,243.843840761795,11.3890769869995,29,66,80,35,9,0.12,0.02,0.55,0.25,0.06,0,1.87463068299985
56.51,47.60546875,243.843840761795,0,81,78,39,86,38,0.12,0.02,0.55,0.25,0.06,1,2.04506673099968
62.07,48.2900390625,243.843840761795,0,26,83,74,51,64,0.12,0.02,0.55,0.25,0.06,1,1.57119725400116
70.89,52.353515625,243.843840761795,0,21,90,97,32,87,0.12,0.02,0.55,0.25,0.06,1,0.0275476440001512
11.45,24.96875,243.843840761795,0,31,3,5,18,7,0.12,0.02,0.55,0.25,0.06,1,1.26722292499835
38.35,40.611328125,243.843840761795,0,26,91,46,13,81,0.12,0.02,0.55,0.25,0.06,1,0.888691513002414
63.15,44.228515625,243.843840761795,0,40,2,86,27,71,0.12,0.02,0.55,0.25,0.06,1,1.10961688799944
68.96,55.8193359375,243.843840761795,0,36,79,84,54,56,0.12,0.02,0.55,0.25,0.06,1,0.894424679001531
43.94,59.1875,243.843840761795,0,12,38,43,51,89,0.12,0.02,0.55,0.25,0.06,1,0.829979217000073
59.18,55.90625,243.843840761795,0,30,40,79,41,18,0.12,0.02,0.55,0.25,0.06,1,1.31713429500087
40.65,58.8720703125,243.843840761795,0,84,57,6,99,23,0.12,0.02,0.55,0.25,0.06,1,0.896129049000592
72.73,52.9521484375,244.285670140381,0.441829378585808,61,37,80,63,82,0.12,0.02,0.55,0.25,0.06,0,2.27705140399848
64.78,54.97265625,259.476470568848,15.1908004284668,29,27,60,94,71,0.12,0.02,0.55,0.25,0.06,0,1.67926239000008
56.99,51.49609375,277.967320274658,18.4908497058106,26,12,46,97,68,0.12,0.02,0.55,0.25,0.06,0,1.12853273899964
81.11,65.1611328125,285.249002046432,7.28168177177427,19,5,95,86,83,0.12,0.02,0.55,0.25,0.06,0,1.2428495109998
68.28,73.482421875,303.895742378159,18.6467403317261,96,60,93,15,11,0.12,0.02,0.55,0.25,0.06,0,1.56760754399875
39.64,56.0361328125,310.454083817902,6.55834143974304,37,77,32,64,1,0.12,0.02,0.55,0.25,0.06,0,1.08715175399993
82.44,67.7578125,319.675752328644,9.22166851074219,54,34,90,94,38,0.12,0.02,0.55,0.25,0.06,0,1.50583654000002
20.93,42.1328125,319.675752328644,0,40,90,6,41,13,0.12,0.02,0.55,0.25,0.06,0,1.84374048300015
38.92,44.3154296875,338.220219253006,18.5444669243622,9,78,30,58,88,0.12,0.02,0.55,0.25,0.06,0,1.39204025300205
