Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,32.7138671875,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,4.54661940399092
49.63,74.8935546875,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,3.08081327399123
27.79,27.7939453125,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,3.17927215999225
51.97,69.3642578125,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,4.57055174402194
46.5,39.373046875,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,0.992107597994618
54.3,54.0166015625,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,1.49735674200929
69.35,7.1875,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,1.47785461699823
54.5,53.9189453125,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,2.65168072000961
42.84,24.9677734375,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,1.03765873299562
67.27,43.7275390625,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,1.82051819199114
55.99,69.458984375,10.9293229953003,10.9293229953003,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,2.9579735469888
60.81,28.822265625,10.9293229953003,0,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,1.46050086800824
53.14,62.1484375,26.87172568573,15.9424026904297,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,4.51230347299133
34.4,78.333984375,26.87172568573,0,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,1.03088110298268
36.49,26.3994140625,41.7807294576264,14.9090037718964,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,1.00426546900417
68.56,89.6416015625,41.7807294576264,0,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,1.06660374501371
49.64,48.27734375,61.6878878548431,19.9071583972168,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,0.806246558000566
31.58,29.6484375,81.5013411702728,19.8134533154297,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,1.96501480499865
36.18,59.7158203125,81.5013411702728,0,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,1.69161310099298
43.28,75.8681640625,81.5013411702728,0,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,0.798071792989504
28.69,35.666015625,81.5013411702728,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,2.52787496900419
24.13,39.3046875,81.5013411702728,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,2.58551842498127
45.77,49.2119140625,81.5013411702728,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,1.12849281399394
38.67,7.0751953125,81.5013411702728,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,0.931127043004381
31.51,38.783203125,81.5013411702728,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,0.806413804995827
33.95,51.4052734375,81.5013411702728,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,0.814364457997726
31.75,68.0244140625,81.5013411702728,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,1.55825111700688
47.58,42.9775390625,81.5013411702728,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,2.59268475498538
64.7,63.615234375,81.5013411702728,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,1.11065877601504
50.32,26.71484375,81.5013411702728,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,0.897689061996061
54.71,50.4921875,100.611844056015,19.1105028857422,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,1.21549786100513
50.83,28.005859375,100.611844056015,0,80,57,59,20,44,0.12,0.02,0.55,0.25,0.06,0,3.03720693799551
