Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,74.4921875,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,11.9793883790001
49.63,21.1015625,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,4.28892800500012
27.79,22.8291015625,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,2.32983491999994
51.97,41.9814453125,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,4.61192866099987
46.5,48.216796875,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,8.10491350799998
54.3,30.369140625,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,3.88600369899996
69.35,88.84375,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,2.16021817299998
54.5,71.2900390625,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,3.24238811600003
42.84,27.9814453125,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,4.03076745499993
67.27,39.44140625,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,2.92367348100015
55.99,34.4990234375,0,0,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,7.99876597799994
60.81,56.984375,19.2682296679688,19.2682296679688,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,3.69478232699998
53.14,34.693359375,22.2543021505737,2.98607248260497,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,6.30244516900007
34.4,56.126953125,22.2543021505737,0,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,4.17918759400004
36.49,20.943359375,30.1694004144287,7.91509826385498,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,3.51951722799981
68.56,44.1474609375,30.1694004144287,0,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,2.21452725699987
49.64,47.2861328125,49.8923658776092,19.7229654631805,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,1.73111343400001
31.58,28.7333984375,69.4872088548279,19.5948429772186,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,2.00349774899996
36.18,33.1328125,89.02294127182,19.5357324169922,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,2.16863891200001
43.28,52.01171875,105.210795655365,16.1878543835449,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,6.09271509099995
28.69,56.6396484375,105.210795655365,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,5.97264390100008
24.13,24.3447265625,105.210795655365,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,4.24145455899998
45.77,45.0810546875,105.210795655365,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,4.16529988500019
38.67,26.6689453125,105.210795655365,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,2.31595814999991
31.51,42.3876953125,105.210795655365,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,4.57541419500012
33.95,48.19921875,105.210795655365,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,2.26898863600013
31.75,45.7763671875,105.210795655365,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,4.64951032499994
47.58,46.11328125,105.210795655365,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,2.084559786
64.7,54.2822265625,105.210795655365,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,7.71278205599992
50.32,45.1572265625,105.210795655365,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,3.52626986399991
54.71,43.27734375,118.675514208832,13.4647185534668,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,5.96993887200006
