Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,52.5390625,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,11.1527418139995
49.63,14.095703125,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,14.4411988020001
27.79,0.13671875,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,12.8230713229968
51.97,30.12890625,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,16.7014048839992
46.5,46.6611328125,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,4.45993292999992
54.3,32.5068359375,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,6.02736527500019
69.35,56.0458984375,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,2.54630687999816
54.5,49.9521484375,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,5.3664533600022
42.84,63.23828125,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,7.48959539000134
67.27,71.787109375,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,3.39612252000006
55.99,36.830078125,1.64486968719482,1.64486968719482,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,4.53182202199969
60.81,71.00390625,16.4490834555054,14.8042137683106,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,8.84431433899954
53.14,79.2060546875,16.4490834555054,0,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,8.20001528400098
34.4,89.9814453125,16.4490834555054,0,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,5.40805788100261
36.49,91.8935546875,16.4490834555054,0,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,0.000783980001870077
68.56,45.9990234375,16.4490834555054,0,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,5.01615736800159
49.64,54.6337890625,35.2021869954681,18.7531035399628,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,3.8071393249993
31.58,67.3662109375,35.2021869954681,0,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,3.38130972899671
36.18,70.298828125,35.2021869954681,0,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,3.10606093000024
43.28,53.6572265625,49.8178454389954,14.6156584435272,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,0.000754575998143991
28.69,79.109375,49.8178454389954,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,8.9297522650013
24.13,34.9853515625,49.8178454389954,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,2.0708117030008
45.77,45.4677734375,49.8178454389954,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,3.84285087299941
38.67,45.4677734375,49.8178454389954,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,0.000700130000041099
31.51,58.6328125,49.8178454389954,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,1.98973631099943
33.95,34.169921875,49.8178454389954,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,6.4346201949993
31.75,98.802734375,49.8178454389954,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,3.99140137999711
47.58,45.923828125,49.8178454389954,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,14.6218330890006
64.7,31.0966796875,49.8178454389954,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,2.75092165899696
50.32,75.025390625,49.8178454389954,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,4.35914319199946
54.71,41.4375,61.0098826264954,11.1920371875,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,1.83407089899993
50.83,41.4375,76.5989298139954,15.5890471875,80,57,59,20,44,0.12,0.02,0.55,0.25,0.06,0,0.00077113199949963
21.02,28.033203125,94.1396789103699,17.5407490963745,30,4,3,45,74,0.12,0.02,0.55,0.25,0.06,0,3.58172751199891
41.45,49.921875,110.551045609589,16.4113666992188,56,39,17,84,60,0.12,0.02,0.55,0.25,0.06,0,2.19419906199983
67.28,87.310546875,110.551045609589,0,78,85,60,78,62,0.12,0.02,0.55,0.25,0.06,0,3.82310156500171
26.2,34.94140625,126.730436448212,16.179390838623,2,75,18,46,51,0.12,0.02,0.55,0.25,0.06,0,3.46668704900003
22.14,52.1474609375,126.730436448212,0,48,84,17,1,85,0.12,0.02,0.55,0.25,0.06,0,1.9876419329994
37.94,26.923828125,140.662634309235,13.932197861023,74,46,42,12,34,0.12,0.02,0.55,0.25,0.06,0,4.24170062899793
15.59,39.6767578125,140.662634309235,0,9,72,8,21,57,0.12,0.02,0.55,0.25,0.06,0,1.58753618099945
58.09,31.82421875,140.662634309235,0,29,66,80,35,9,0.12,0.02,0.55,0.25,0.06,0,2.44991171600122
56.51,54.5810546875,140.662634309235,0,81,78,39,86,38,0.12,0.02,0.55,0.25,0.06,1,5.88277083600042
62.07,42.197265625,140.662634309235,0,26,83,74,51,64,0.12,0.02,0.55,0.25,0.06,1,2.52310790500269
70.89,84.1376953125,140.662634309235,0,21,90,97,32,87,0.12,0.02,0.55,0.25,0.06,1,1.57212667600106
11.45,7.71875,140.662634309235,0,31,3,5,18,7,0.12,0.02,0.55,0.25,0.06,1,2.35708224300106
38.35,54.1572265625,140.662634309235,0,26,91,46,13,81,0.12,0.02,0.55,0.25,0.06,1,2.37357674599843
63.15,47.82421875,140.662634309235,0,40,2,86,27,71,0.12,0.02,0.55,0.25,0.06,1,1.95744991299944
68.96,51.4951171875,140.662634309235,0,36,79,84,54,56,0.12,0.02,0.55,0.25,0.06,1,3.21464732300228
43.94,45.0205078125,140.662634309235,0,12,38,43,51,89,0.12,0.02,0.55,0.25,0.06,1,2.31523059900064
59.18,36.27734375,140.662634309235,0,30,40,79,41,18,0.12,0.02,0.55,0.25,0.06,1,5.68587810399913
40.65,63.82421875,140.662634309235,0,84,57,6,99,23,0.12,0.02,0.55,0.25,0.06,1,2.72513496299871
72.73,57.67578125,149.331159200592,8.66852489135741,61,37,80,63,82,0.12,0.02,0.55,0.25,0.06,0,4.52812038900083
64.78,68.767578125,168.536120235443,19.2049610348511,29,27,60,94,71,0.12,0.02,0.55,0.25,0.06,0,3.58097029800047
56.99,72.2978515625,176.819604262466,8.28348402702331,26,12,46,97,68,0.12,0.02,0.55,0.25,0.06,0,2.00230577700131
81.11,81.6279296875,196.806191704407,19.9865874419403,19,5,95,86,83,0.12,0.02,0.55,0.25,0.06,0,2.5514906219978
68.28,64.2158203125,215.980313877792,19.1741221733856,96,60,93,15,11,0.12,0.02,0.55,0.25,0.06,0,2.22244892899835
39.64,50.6171875,229.955381607285,13.9750677294922,37,77,32,64,1,0.12,0.02,0.55,0.25,0.06,0,4.44273492399952
82.44,71.896484375,244.397095520554,14.441713913269,54,34,90,94,38,0.12,0.02,0.55,0.25,0.06,0,1.90013294999881
20.93,55.5263671875,244.397095520554,0,40,90,6,41,13,0.12,0.02,0.55,0.25,0.06,0,3.54166392300249
38.92,67.7138671875,244.397095520554,0,9,78,30,58,88,0.12,0.02,0.55,0.25,0.06,0,3.32427596900015
50.81,44.65234375,262.501258995895,18.1041634753418,88,60,65,6,30,0.12,0.02,0.55,0.25,0.06,0,2.57920371200089
69.97,60.45703125,262.501258995895,0,69,19,80,51,76,0.12,0.02,0.55,0.25,0.06,1,6.71115730399833
46.17,52.5810546875,262.501258995895,0,18,8,48,53,70,0.12,0.02,0.55,0.25,0.06,1,1.19679704699956
53.95,66.984375,262.501258995895,0,20,67,79,4,96,0.12,0.02,0.55,0.25,0.06,1,2.20488428899989
25.03,20.6884765625,262.501258995895,0,98,55,6,35,2,0.12,0.02,0.55,0.25,0.06,1,1.27605627999947
35.58,33.8974609375,262.501258995895,0,80,21,14,70,6,0.12,0.02,0.55,0.25,0.06,1,1.88078144199972
65.59,53.265625,262.501258995895,0,26,51,100,15,45,0.12,0.02,0.55,0.25,0.06,1,1.36439962199802
44.65,57.7080078125,262.501258995895,0,60,10,29,72,55,0.12,0.02,0.55,0.25,0.06,1,1.54985386200133
41.98,56.654296875,262.501258995895,0,84,58,18,62,89,0.12,0.02,0.55,0.25,0.06,1,3.11142682200079
60.76,36.0908203125,262.501258995895,0,52,63,51,91,41,0.12,0.02,0.55,0.25,0.06,1,1.34517272800076
36.45,61.7265625,262.501258995895,0,54,34,13,66,94,0.12,0.02,0.55,0.25,0.06,1,1.47694807699736
43.66,32.13671875,275.861958457565,13.3606994616699,61,84,22,90,1,0.12,0.02,0.55,0.25,0.06,0,2.11232461499822
79.3,72.7080078125,293.689240407562,17.8272819499969,23,13,91,91,58,0.12,0.02,0.55,0.25,0.06,0,2.54554627500329
62.46,65.9404296875,313.083570867081,19.3943304595184,9,12,77,73,9,0.12,0.02,0.55,0.25,0.06,0,1.20076812200205
31.01,39.0986328125,329.812271828308,16.7287009612274,36,77,13,54,75,0.12,0.02,0.55,0.25,0.06,0,1.77531606499906
47.42,59.607421875,342.385609230347,12.5733374020386,27,57,48,56,44,0.12,0.02,0.55,0.25,0.06,0,2.99021907499991
56.6,65.66796875,358.274206367798,15.8885971374512,69,72,76,4,68,0.12,0.02,0.55,0.25,0.06,0,2.05104086999927
64.89,77.0517578125,370.878788713303,12.6045823455048,48,10,61,84,73,0.12,0.02,0.55,0.25,0.06,0,1.44625018300212
21.14,15.80859375,389.457594083176,18.578805369873,32,7,4,56,16,0.12,0.02,0.55,0.25,0.06,0,2.82645174600111
8.75,8.7265625,409.457566617355,19.9999725341797,27,24,2,15,3,0.12,0.02,0.55,0.25,0.06,0,2.50087409100161
69.88,64.8427734375,428.188884045258,18.7313174279022,98,36,83,41,25,0.12,0.02,0.55,0.25,0.06,0,1.39132555000106
64.12,76.693359375,428.188884045258,0,24,77,67,71,85,0.12,0.02,0.55,0.25,0.06,1,2.0143932380015
58.36,54.7734375,428.188884045258,0,52,44,55,65,79,0.12,0.02,0.55,0.25,0.06,1,1.57281973300269
40.93,17.1455078125,428.188884045258,0,89,31,14,75,53,0.12,0.02,0.55,0.25,0.06,1,1.56536848500036
71.42,54.763671875,428.188884045258,0,78,43,84,54,25,0.12,0.02,0.55,0.25,0.06,1,1.52647711399914
26.11,24.71875,428.188884045258,0,6,9,17,44,81,0.12,0.02,0.55,0.25,0.06,1,1.93727530499746
48.12,33.876953125,428.188884045258,0,91,58,29,65,64,0.12,0.02,0.55,0.25,0.06,1,3.21094610099681
79.4,83.1494140625,428.188884045258,0,50,97,81,93,61,0.12,0.02,0.55,0.25,0.06,1,2.03269955499854
26.02,36.841796875,428.188884045258,0,98,71,1,29,84,0.12,0.02,0.55,0.25,0.06,1,2.75047091200031
35.57,17.8427734375,428.188884045258,0,44,17,11,80,65,0.12,0.02,0.55,0.25,0.06,1,2.02339798700268
54.27,49.3125,428.188884045258,0,50,29,64,37,54,0.12,0.02,0.55,0.25,0.06,1,6.02154309300022
32.95,28.3154296875,447.114921946182,18.9260379009247,76,84,10,51,65,0.12,0.02,0.55,0.25,0.06,0,2.23429057899921
77.02,76.6640625,467.108587370987,19.9936654248047,15,0,97,81,27,0.12,0.02,0.55,0.25,0.06,0,2.60603662699941
58.71,55.048828125,486.438378396072,19.3297910250854,28,12,48,93,91,0.12,0.02,0.55,0.25,0.06,0,2.20301545399707
69.65,74.83984375,505.091654488602,18.6532760925293,24,39,97,28,94,0.12,0.02,0.55,0.25,0.06,0,2.89486497600228
67.34,72.3310546875,523.846123143921,18.7544686553192,77,88,87,15,79,0.12,0.02,0.55,0.25,0.06,0,2.3292031029996
61.5,78.2841796875,529.760688754807,5.91456561088563,91,84,71,31,35,0.12,0.02,0.55,0.25,0.06,0,2.761687102
34.59,44.9140625,544.431375429611,14.6706866748047,24,9,19,62,93,0.12,0.02,0.55,0.25,0.06,0,3.85604621400125
41.75,21.548828125,544.431375429611,0,69,56,26,53,80,0.12,0.02,0.55,0.25,0.06,0,1.42525657599981
23.8,21.6572265625,564.201801529388,19.7704260997772,30,18,2,74,4,0.12,0.02,0.55,0.25,0.06,0,5.51858524099953
23,22.16796875,584.16718772934,19.9653861999512,43,83,1,51,48,0.12,0.02,0.55,0.25,0.06,0,1.25945295299971
23.63,8.6103515625,584.16718772934,0,3,1,33,6,60,0.12,0.02,0.55,0.25,0.06,1,5.45314238699939
16.18,12.57421875,584.16718772934,0,89,41,4,8,8,0.12,0.02,0.55,0.25,0.06,1,1.93446816800133
39.38,39.62109375,584.16718772934,0,81,80,2,86,91,0.12,0.02,0.55,0.25,0.06,1,1.76043817899699
67.92,59.673828125,584.16718772934,0,40,29,84,62,14,0.12,0.02,0.55,0.25,0.06,1,2.02548139500141
61,71.634765625,584.16718772934,0,23,84,84,22,81,0.12,0.02,0.55,0.25,0.06,1,1.22386532999735
52.36,54.6015625,584.16718772934,0,54,61,52,64,1,0.12,0.02,0.55,0.25,0.06,1,3.43916397099747
29.96,31.41015625,584.16718772934,0,2,69,17,69,29,0.12,0.02,0.55,0.25,0.06,1,2.04316161699899
32.2,37.11328125,584.16718772934,0,6,58,30,32,97,0.12,0.02,0.55,0.25,0.06,1,6.54502599400075
19.02,17.1044921875,584.16718772934,0,19,35,10,40,9,0.12,0.02,0.55,0.25,0.06,1,1.58962887600137
10.64,8.5126953125,584.16718772934,0,50,74,1,9,6,0.12,0.02,0.55,0.25,0.06,1,2.86198718000014
51.72,54.158203125,603.869946005402,19.702758276062,88,99,52,20,93,0.12,0.02,0.55,0.25,0.06,0,5.40077703499992
