Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,65.96484375,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,11.9127989900298
49.63,90.6015625,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,8.80877608992159
27.79,27.5107421875,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,5.85634500184096
51.97,44.271484375,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,2.41716435994022
46.5,75.0234375,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,4.88703905395232
54.3,53.5146484375,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,3.24729363806546
69.35,11.7265625,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,5.78686586488038
54.5,19.765625,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,2.02272588503547
42.84,68.13671875,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,2.78089167689905
67.27,84.453125,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,3.86745708505623
55.99,78.6630859375,0,0,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,6.71734046493657
60.81,82.46484375,0,0,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,5.29778162692674
53.14,45.662109375,17.2040575900268,17.2040575900268,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,3.95216010394506
34.4,64.37890625,17.2040575900268,0,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,1.30955655896105
36.49,33.083984375,36.6240104681396,19.4199528781128,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,3.27167233312503
68.56,77.654296875,52.4886986856079,15.8646882174683,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,2.80058533092961
