Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,53.2451171875,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,6.99111258500488
49.63,49.2265625,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,6.57742999203037
27.79,59.3505859375,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,2.98875432903878
51.97,50.7578125,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,3.63529393798672
46.5,40.568359375,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,5.11108748597326
54.3,62.6298828125,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,2.90268671198282
69.35,52.9951171875,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,3.65696223202394
54.5,28.1630859375,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,12.7639536440256
42.84,51.8115234375,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,3.30517901998246
67.27,37.7333984375,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,3.2905577350175
55.99,45.34765625,14.3370259753418,14.3370259753418,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,3.45700594398659
60.81,67.3564453125,32.1942286638641,17.8572026885223,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,3.15479347901419
53.14,58.1865234375,50.9208587236023,18.7266300597382,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,4.32906861801166
34.4,38.0361328125,70.2597856320953,19.338926908493,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,5.61510303098476
36.49,37.3515625,90.222671135025,19.9628855029297,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,4.16858131298795
68.56,54.1669921875,99.8647374404907,9.6420663054657,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,4.92493746103719
49.64,44.8583984375,118.721551765366,18.8568143248749,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,3.99417753703892
31.58,26.3369140625,137.347054257965,18.6255024925995,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,10.2141223319923
36.18,51.1259765625,146.177943487625,8.83088922966003,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,3.85847279598238
43.28,78.0009765625,146.177943487625,0,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,2.09972065099282
28.69,57.958984375,146.177943487625,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,7.03466026700335
24.13,31.736328125,146.177943487625,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,3.01173674600432
45.77,38.8623046875,146.177943487625,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,2.78547476103995
38.67,43.01171875,146.177943487625,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,2.34435519302497
31.51,38.330078125,146.177943487625,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,4.40161025198177
33.95,29.150390625,146.177943487625,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,2.57466661295621
31.75,33.734375,146.177943487625,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,2.50205581897171
47.58,43.20703125,146.177943487625,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,2.65682149404893
64.7,53.884765625,146.177943487625,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,2.87656389299082
50.32,42.4033203125,146.177943487625,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,3.25611160695553
54.71,43.859375,160.291140343094,14.1131968554687,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,3.65425260097254
50.83,47.369140625,179.692262962418,19.4011226193237,80,57,59,20,44,0.12,0.02,0.55,0.25,0.06,0,2.47171735099982
21.02,32.9541015625,192.571123957214,12.8788609947967,30,4,3,45,74,0.12,0.02,0.55,0.25,0.06,0,1.83390015800251
41.45,28.7060546875,204.450716850815,11.8795928936005,56,39,17,84,60,0.12,0.02,0.55,0.25,0.06,0,2.49292224401142
67.28,64.521484375,224.070246428146,19.6195295773315,78,85,60,78,62,0.12,0.02,0.55,0.25,0.06,0,2.93572767096339
26.2,52.9521484375,224.070246428146,0,2,75,18,46,51,0.12,0.02,0.55,0.25,0.06,0,1.68679352098843
22.14,46.7275390625,224.070246428146,0,48,84,17,1,85,0.12,0.02,0.55,0.25,0.06,0,2.41702012898168
37.94,47.6064453125,239.398238179169,15.3279917510223,74,46,42,12,34,0.12,0.02,0.55,0.25,0.06,0,2.77350046898937
15.59,29.845703125,249.236984599762,9.83874642059326,9,72,8,21,57,0.12,0.02,0.55,0.25,0.06,0,2.25911304500187
58.09,51.5498046875,267.09827686348,17.8612922637177,29,66,80,35,9,0.12,0.02,0.55,0.25,0.06,0,2.71832575602457
56.51,42.0771484375,267.09827686348,0,81,78,39,86,38,0.12,0.02,0.55,0.25,0.06,1,5.19924483296927
62.07,48.095703125,267.09827686348,0,26,83,74,51,64,0.12,0.02,0.55,0.25,0.06,1,3.54673439898761
70.89,72.0595703125,267.09827686348,0,21,90,97,32,87,0.12,0.02,0.55,0.25,0.06,1,1.54747847002
11.45,29.9228515625,267.09827686348,0,31,3,5,18,7,0.12,0.02,0.55,0.25,0.06,1,2.30097195901908
38.35,43.0556640625,267.09827686348,0,26,91,46,13,81,0.12,0.02,0.55,0.25,0.06,1,8.83191555400845
63.15,38.65625,267.09827686348,0,40,2,86,27,71,0.12,0.02,0.55,0.25,0.06,1,1.46256520500174
68.96,61.70703125,267.09827686348,0,36,79,84,54,56,0.12,0.02,0.55,0.25,0.06,1,1.68431583500933
43.94,60.392578125,267.09827686348,0,12,38,43,51,89,0.12,0.02,0.55,0.25,0.06,1,1.75239805097226
59.18,46.7392578125,267.09827686348,0,30,40,79,41,18,0.12,0.02,0.55,0.25,0.06,1,1.70547584199812
40.65,43.4580078125,267.09827686348,0,84,57,6,99,23,0.12,0.02,0.55,0.25,0.06,1,2.4770076170098
72.73,58.6767578125,277.223596064453,10.1253192009735,61,37,80,63,82,0.12,0.02,0.55,0.25,0.06,0,1.69658344396157
64.78,58.8505859375,295.465698508224,18.2421024437714,29,27,60,94,71,0.12,0.02,0.55,0.25,0.06,0,1.69903822499327
56.99,45.076171875,308.368733478622,12.903034970398,26,12,46,97,68,0.12,0.02,0.55,0.25,0.06,0,4.2925780370133
81.11,63.29296875,312.496403350449,4.12766987182615,19,5,95,86,83,0.12,0.02,0.55,0.25,0.06,0,3.9960028869682
68.28,64.0751953125,331.612384227447,19.1159808769989,96,60,93,15,11,0.12,0.02,0.55,0.25,0.06,0,3.04796099400846
39.64,48.55078125,347.64228310318,16.0298988757324,37,77,32,64,1,0.12,0.02,0.55,0.25,0.06,0,1.70640513801482
