Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,23.3505859375,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,11.2096456509898
49.63,19.896484375,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,5.39054982201196
27.79,0.2890625,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,3.23446212796262
51.97,60.7294921875,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,3.52681382303126
46.5,47.9765625,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,2.46331580198603
54.3,47.5419921875,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,3.14797171304235
69.35,54.1572265625,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,2.86916696402477
54.5,59.6103515625,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,4.57594573299866
42.84,55.982421875,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,2.05320568295429
67.27,54.1025390625,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,4.13041869405424
55.99,34.8857421875,0,0,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,2.43270290497458
60.81,46.07421875,9.14283754760742,9.14283754760742,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,5.24431251402711
53.14,41.326171875,22.1645107992554,13.0216732516479,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,4.26066830800846
34.4,49.8212890625,30.2737029817962,8.10919218254089,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,4.94960834999802
36.49,41.0107421875,49.2518474855041,18.9781445037079,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,2.22629398701247
68.56,49.4296875,50.9534046681213,1.70155718261718,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,2.84673807898071
49.64,44.0419921875,69.3865200946808,18.4331154265594,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,2.58600216399645
31.58,22.4033203125,85.175947590332,15.7894274956512,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,2.8234257309814
36.18,33.875,104.910296340332,19.73434875,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,1.67510259698611
43.28,49.8203125,122.771511960449,17.8612156201172,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,1.74217286903877
28.69,27.7919921875,122.771511960449,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,6.2253603869467
24.13,34.408203125,122.771511960449,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,2.55509056494338
45.77,29.4970703125,122.771511960449,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,2.50740922999103
38.67,30.4423828125,122.771511960449,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,2.82977300899802
31.51,36.40625,122.771511960449,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,2.85949376400094
33.95,28.68359375,122.771511960449,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,1.70330677099992
31.75,42.0234375,122.771511960449,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,3.97070977202384
47.58,28.2490234375,122.771511960449,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,3.90504974697251
64.7,29.205078125,122.771511960449,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,1.75384861696512
50.32,63.998046875,122.771511960449,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,1.17108704498969
54.71,28.4013671875,122.771511960449,0,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,7.99773679301143
50.83,44.9453125,141.040034611816,18.2685226513672,80,57,59,20,44,0.12,0.02,0.55,0.25,0.06,0,2.94910740299383
21.02,35.13671875,151.075947198486,10.0359125866699,30,4,3,45,74,0.12,0.02,0.55,0.25,0.06,0,5.61937889398541
41.45,55.86328125,160.688813378906,9.61286618041992,56,39,17,84,60,0.12,0.02,0.55,0.25,0.06,0,2.25229585700436
67.28,62.185546875,179.391140746765,18.7023273678589,78,85,60,78,62,0.12,0.02,0.55,0.25,0.06,0,3.07940547500039
26.2,53.9833984375,179.391140746765,0,2,75,18,46,51,0.12,0.02,0.55,0.25,0.06,0,2.77690936496947
22.14,66.2138671875,179.391140746765,0,48,84,17,1,85,0.12,0.02,0.55,0.25,0.06,0,5.15056283999002
