sub,NTrials,iTrial,correct_response,response,bars1,bars2,bars3,bars4,bars5,weights1,weights2,weights3,weights4,weights5,condition,RT
1,100,1,52.66666666666666,62.0,59.0,42.0,68.0,57.0,87.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,7517
1,100,2,66.0,47.0,89.0,72.0,93.0,37.0,90.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,6570
1,100,3,66.0,47.0,89.0,72.0,93.0,37.0,90.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,6570
1,100,4,58.0,54.0,54.0,75.0,99.0,45.0,75.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,2157
1,100,5,40.66666666666666,17.0,7.0,100.0,49.0,15.0,94.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,2853
1,100,6,41.33333333333333,43.0,36.0,57.0,69.0,31.0,67.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,3740
1,100,7,56.99999999999999,75.0,98.0,2.0,70.0,71.0,33.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,3504
1,100,8,56.99999999999999,75.0,98.0,2.0,70.0,71.0,33.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,3504
1,100,9,35.0,53.0,75.0,6.0,82.0,24.0,27.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,3618
1,100,10,35.0,53.0,75.0,6.0,82.0,24.0,27.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,3618
1,100,11,33.33333333333333,34.0,67.0,5.0,48.0,28.0,58.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,3800
1,100,12,75.66666666666666,42.0,85.0,85.0,21.0,57.0,64.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,4176
1,100,13,75.66666666666666,42.0,85.0,85.0,21.0,57.0,64.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,4176
1,100,14,49.66666666666666,39.0,28.0,58.0,3.0,63.0,43.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,2919
1,100,15,49.66666666666666,39.0,28.0,58.0,3.0,63.0,43.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,2919
1,100,16,58.66666666666666,54.0,72.0,93.0,50.0,11.0,31.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,7509
1,100,17,58.66666666666666,54.0,72.0,93.0,50.0,11.0,31.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,7509
1,100,18,34.33333333333333,65.0,29.0,62.0,57.0,12.0,49.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,6630
1,100,19,34.33333333333333,65.0,29.0,62.0,57.0,12.0,49.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,6630
1,100,20,34.33333333333333,65.0,29.0,62.0,57.0,12.0,49.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,6630
1,100,21,29.0,48.0,22.0,9.0,74.0,56.0,12.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,2383
1,100,22,54.66666666666666,70.0,19.0,55.0,91.0,90.0,78.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,2804
1,100,23,54.66666666666666,70.0,19.0,55.0,91.0,90.0,78.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,2804
