sub,NTrials,iTrial,correct_response,response,bars1,bars2,bars3,bars4,bars5,weights1,weights2,weights3,weights4,weights5,condition,RT
5,100,1,20.33333333333333,51.0,25.0,56.0,15.0,21.0,58.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,6343.99999998277
5,100,2,63.33333333333333,70.0,52.0,85.0,57.0,81.0,68.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,1944.1000000224449
5,100,3,56.0,77.0,89.0,54.0,48.0,31.0,91.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2222.200000018347
5,100,4,36.66666666666666,41.0,56.0,61.0,45.0,9.0,74.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2670.799999963492
5,100,5,59.99999999999999,66.0,39.0,77.0,94.0,47.0,46.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2745.8999999798834
5,100,6,50.33333333333333,39.0,30.0,36.0,40.0,81.0,76.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,3147.500000020955
5,100,7,55.66666666666666,42.0,82.0,70.0,40.0,45.0,42.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,1978.2000000122935
5,100,8,74.0,77.0,36.0,87.0,92.0,94.0,89.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2669.200000003912
5,100,9,61.66666666666666,73.0,8.0,44.0,92.0,85.0,93.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,3404.600000008941
5,100,10,72.0,60.0,58.0,48.0,80.0,78.0,69.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2492.299999983516
5,100,11,17.0,41.0,18.0,51.0,29.0,4.0,49.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2558.599999989383
5,100,12,37.0,18.0,24.0,29.0,71.0,16.0,15.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2458.4000000031665
5,100,13,48.99999999999999,34.0,29.0,74.0,59.0,59.0,18.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,4289.899999974296
5,100,14,45.66666666666666,40.0,32.0,90.0,23.0,82.0,22.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,1673.9999999990687
5,100,15,33.0,39.0,6.0,47.0,26.0,67.0,67.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2079.200000036508
5,100,16,49.0,35.0,99.0,19.0,39.0,9.0,76.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2240.4000000096853
5,100,17,13.999999999999998,18.0,35.0,65.0,5.0,2.0,70.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,3314.39999997383
5,100,18,50.33333333333333,43.0,57.0,4.0,92.0,2.0,3.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2672.200000029989
5,100,19,60.0,74.0,7.0,51.0,96.0,77.0,25.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2760.7999999891035
5,100,20,66.66666666666666,49.0,93.0,7.0,62.0,45.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2183.000000019092
5,100,21,60.66666666666666,58.0,60.0,52.0,67.0,55.0,88.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,3556.900000025053
5,100,22,64.0,64.0,35.0,70.0,76.0,81.0,30.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2915.099999983795
5,100,23,76.66666666666666,74.0,97.0,1.0,85.0,48.0,94.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,3008.199999982025
5,100,24,37.0,43.0,10.0,52.0,82.0,19.0,63.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,3505.799999984447
5,100,25,17.0,41.0,30.0,84.0,5.0,16.0,6.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,5696.100000001025
5,100,26,46.33333333333333,63.0,29.0,37.0,43.0,67.0,75.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2379.7999999951567
5,100,27,34.666666666666664,41.0,8.0,58.0,25.0,71.0,28.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,3157.3999999673106
5,100,28,83.0,81.0,97.0,47.0,69.0,83.0,91.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,1751.9000000320373
5,100,29,63.66666666666666,95.0,87.0,88.0,6.0,98.0,94.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2059.6000000368804
5,100,30,51.66666666666666,56.0,50.0,14.0,9.0,96.0,52.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,3236.299999989569
5,100,31,55.0,71.0,15.0,53.0,68.0,82.0,95.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2155.7000000029802
5,100,32,49.0,64.0,42.0,62.0,8.0,97.0,84.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2139.400000043679
5,100,33,18.0,26.0,15.0,38.0,11.0,28.0,39.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,3661.199999973178
5,100,34,42.33333333333333,39.0,69.0,14.0,53.0,5.0,6.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2901.099999959115
5,100,35,45.0,47.0,82.0,85.0,41.0,12.0,94.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1,3038.0000000004657
