sub,NTrials,iTrial,correct_response,response,bars1,bars2,bars3,bars4,bars5,weights1,weights2,weights3,weights4,weights5,condition,RT
5,100,22,19.33333333333333,57.0,95.0,13.0,13.0,32.0,68.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2393.304999999993
5,100,23,63.33333333333333,41.0,71.0,92.0,44.0,54.0,24.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1442.3450000000012
5,100,24,65.66666666666666,49.0,17.0,84.0,37.0,76.0,72.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2049.5650000000314
5,100,25,33.33333333333333,11.0,9.0,37.0,2.0,61.0,30.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2244.719999999972
5,100,26,33.666666666666664,64.0,82.0,2.0,91.0,8.0,26.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1796.429999999993
5,100,27,65.0,54.0,59.0,88.0,43.0,64.0,97.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1295.3000000000175
5,100,28,55.66666666666666,28.0,17.0,28.0,74.0,65.0,38.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1738.989999999991
5,100,29,49.33333333333334,56.0,40.0,75.0,57.0,16.0,82.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1145.304999999993
5,100,30,69.66666666666666,65.0,25.0,59.0,80.0,70.0,22.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1807.7000000000119
5,100,31,51.66666666666666,71.0,74.0,16.0,42.0,97.0,23.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1883.234999999957
5,100,32,81.0,56.0,79.0,72.0,81.0,90.0,14.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2946.500000000029
5,100,33,51.33333333333333,68.0,6.0,82.0,69.0,3.0,96.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1260.084999999992
5,100,34,57.33333333333333,63.0,95.0,76.0,21.0,75.0,61.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,979.6600000000327
5,100,35,44.99999999999999,63.0,37.0,88.0,24.0,23.0,22.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1100.304999999993
5,100,36,37.66666666666666,46.0,91.0,14.0,55.0,44.0,45.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2622.0450000000133
5,100,37,61.99999999999999,52.0,15.0,65.0,32.0,89.0,27.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2867.8550000000105
5,100,38,58.66666666666666,50.0,41.0,57.0,37.0,82.0,32.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2893.4000000000524
5,100,39,52.0,47.0,84.0,20.0,72.0,64.0,41.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1759.5249999999942
5,100,40,60.33333333333333,43.0,98.0,82.0,85.0,14.0,24.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1547.444999999978
5,100,41,56.66666666666666,65.0,31.0,99.0,48.0,23.0,56.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2675.6050000000105
5,100,42,33.333333333333336,56.0,29.0,29.0,58.0,13.0,83.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1592.1749999999884
5,100,43,48.66666666666666,47.0,59.0,74.0,29.0,43.0,71.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1367.8450000000012
5,100,44,38.0,33.0,3.0,27.0,44.0,43.0,31.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1240.0299999999988
5,100,45,59.33333333333333,54.0,48.0,86.0,62.0,30.0,99.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1621.9700000000596
5,100,46,40.66666666666666,31.0,6.0,9.0,85.0,28.0,27.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1319.0199999999895
5,100,47,71.0,43.0,12.0,63.0,59.0,91.0,36.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1168.0250000000233
5,100,48,42.33333333333333,43.0,17.0,10.0,89.0,28.0,76.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2785.145000000018
5,100,49,33.0,40.0,31.0,19.0,43.0,37.0,64.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1610.2350000000442
5,100,50,70.33333333333331,34.0,0.0,97.0,58.0,56.0,78.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,4337.5900000000265
5,100,51,63.0,59.0,95.0,83.0,96.0,10.0,57.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,3230.419999999984
5,100,52,40.33333333333333,41.0,56.0,40.0,64.0,17.0,31.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2449.1300000000047
5,100,53,61.66666666666666,22.0,7.0,62.0,84.0,39.0,24.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,7415.515000000072
5,100,54,64.33333333333333,28.0,7.0,30.0,75.0,88.0,58.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,8289.955000000016
5,100,55,25.33333333333333,46.0,90.0,15.0,39.0,22.0,41.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,6940.910000000033
5,100,56,66.33333333333333,42.0,62.0,39.0,86.0,74.0,93.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1420.2300000000394
5,100,57,53.0,54.0,14.0,67.0,88.0,4.0,81.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1769.9349999999977
5,100,58,58.0,51.0,40.0,88.0,17.0,69.0,61.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1619.984999999986
5,100,59,45.0,57.0,66.0,21.0,34.0,80.0,95.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1992.064999999944
5,100,60,53.0,56.0,73.0,79.0,15.0,65.0,81.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,4680.455000000016
5,100,61,54.0,53.0,58.0,73.0,49.0,40.0,53.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2161.929999999935
5,100,62,48.0,47.0,16.0,51.0,20.0,73.0,59.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,3429.2799999999693
5,100,63,65.66666666666666,54.0,3.0,98.0,7.0,92.0,81.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,5307.579999999958
5,100,64,35.33333333333333,59.0,34.0,63.0,20.0,23.0,88.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1168.9899999999907
5,100,65,61.66666666666666,47.0,59.0,24.0,81.0,80.0,3.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,897.4749999999768
5,100,66,43.66666666666666,36.0,75.0,53.0,11.0,67.0,16.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2746.040000000037
5,100,67,39.66666666666666,42.0,41.0,37.0,73.0,9.0,72.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,861.3399999999673
