sub,NTrials,iTrial,correct_response,response,bars1,bars2,bars3,bars4,bars5,weights1,weights2,weights3,weights4,weights5,condition,RT
1,100,18,72.0,67.0,14.0,60.0,80.0,24.0,76.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,1840.0
1,100,19,86.33333333333331,84.0,48.0,93.0,92.0,38.0,74.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,1807.0
1,100,20,67.66666666666666,85.0,78.0,81.0,82.0,1.0,40.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,1968.0000000000146
1,100,21,34.0,44.0,74.0,55.0,23.0,19.0,24.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,3843.0
1,100,22,72.66666666666666,76.0,42.0,70.0,96.0,17.0,52.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,1816.0
1,100,23,18.0,32.0,73.0,9.0,14.0,79.0,31.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2433.0
1,100,24,68.66666666666666,74.0,49.0,94.0,64.0,74.0,48.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2670.000000000029
1,100,25,56.33333333333333,37.0,61.0,60.0,21.0,80.0,88.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,3016.0
1,100,26,43.66666666666666,26.0,74.0,13.0,88.0,7.0,30.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2246.0
1,100,27,50.33333333333333,64.0,52.0,65.0,2.0,41.0,84.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2360.0
1,100,28,50.66666666666667,69.0,23.0,7.0,90.0,13.0,55.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,4250.0
1,100,29,79.66666666666666,87.0,81.0,80.0,87.0,85.0,72.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2675.999999999971
1,100,30,41.0,51.0,66.0,34.0,22.0,44.0,67.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2441.0
1,100,31,54.33333333333333,63.0,90.0,49.0,34.0,46.0,80.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,15729.0
1,100,32,55.0,77.0,83.0,37.0,48.0,87.0,80.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2115.0
